facility_id,facility_name,facility_capacity
2674,Home Away From Home Too Child Development Center Inc.,83
2794,House of Ruth's Kidspace Child and Family Development Center,66
1922,Howard University Early Learning Program,60
1812,I-Care Child Development Center,55
2610,IDA Little Scholars Academy ,31
2670,Ideal Child Care Development Center IV,36
2788,Independent  Church Of God Child Development Center,36
1787,Institute Of Our Lady Of Mt. Carmel CDC,65
2396,Irma Yolanda Tzul-de Morales/Little Blessings LLC,6
2730,Isatou Jabang / Curious Explorers Home Day Care,9
1832,Israel Baptist Church CDC,97
2813,Jenkins Hill Child Development Center III,21
2590,Jewel's New Beginning Learning Center II,64
2171,"Jewel's New Beginning Learning Center, LLC",35
2525,Joyce Bagley,4
1984,Jubilee Jumpstart,50
2503,Julie  A. Lujan,6
1791,"Just Us Kids, Inc",85
2421,Jynell Williams,6
2629,Karla Richardson/New Life Early Learning,9
2686,KD's Klubhouse,56
1765,Kennedy Child Development Center,70
2869,Kenney Business Solutions Inc. USAO Child Care Waiting Room,12
2781,Khadijah Thomas/Ngegha Beginner Child Care,7
2848,Kiddie Academy Of DC -  West End ,90
2254,"Kiddie University Capitol Hill, LLC D/B/A University For Kids",42
2613,Kiddie University H Street D/B/A University For Kids,50
1806,Kiddies Kollege,91
1965,Kids Are People Too CDC  II,21
2078,Kids Are People Too CDC IV,13
2141,Kids Are People Too CDC V,100
2008,Kids Are People Too III                                                    ,44
1851,Kids Are Us Learning Center,60
2039,Kids Come First,56
2095,Kids Come First - Unit 2,25
2097,Kids Come First - Unit 5,22
2252,Kids Come First IV,61
1894,"Kids Corner Daycare, Inc",80
2149,Kids Village Learning Center,18
2750,Kidz Care Unlimited Child Development Center,100
2718,KinderCare Champions @ Anacostia Elementary Campus,157
2719,KinderCare Champions @ Benning Elementary Campus                                                                                                ,108
2720,KinderCare Champions @ Edgewood Elementary Campus                                                                                                ,165
2726,KinderCare Champions @ Excel Academy,94
2667,KinderCare Champions @ Tubman,98
2615,KinderCare Education Champions LLC  @  Cooke Elementary,150
2547,KinderCare Education Champions LLC @ Bruce Monroe Elementary School,200
2681,"KinderCare Education Champions, LLC @ Bancroft ",183
2829,Kindercare Education/ Champion @ Dorothy Height,48
2845,KinderCare Learning @ Watergate 600,32
2646,KinderCare Learning Center @ 9th Street,96
2660,KinderCare Learning Center @ Watergate East,94
1764,"Kingman Boys- Club, Inc.",100
2758,KittyFlo Learning Academy/Renessa L. Copeland,9
2776,"KU Kids Deanwood, LLC",68
1801,Kuumba Learning Center,60
2554,La Juanda Hill,9
2860,La Petite Academy DBA Everbrook Academy,44
2890,La Petite Academy DBA Everbrook Academy 2,24
1821,"La Petite Academy, Inc.",144
2336,La'Vel P. Jackson,5
2754,Lachan Bush/Little Geniuses Leadership Academy,6
2540,Lakeisha Cameron/Blessing CDH ,9
2066,Lanier Lullabies Child Development Center,22
2779,Learning Leaf Childcare Center,40
2199,Lena Sears Child Development Center,105
2557,Lia's Rainbow,22
2367,Linda T Waller,5
2637,Lisa Fair/Ms. Lisa's Home Day Care ,6
2037,Little Apple Child Center-Wendy Weekes ,15
1808,Little Flower Montessori School,20
2176,"Little Folks School, Inc.",68
2168,Little Praude Child Developmentcenter LLC,13
2768,Little Rockets ,6
1897,Little Samaritan Child Dev. Center,50
2641,Logan - Shaw Child Care,46
2347,Lois Denise Lightfoot,6
1752,Love And Care CDC,60
2801,Love and Care Child Development Center,80
2889,Love First Child Development Center Site # 1,75
2888,Love First Child Development Center Site # 2,21
2200,"Loving Care Day Nursery, Inc  #2",209
1864,"Loving Care Day Nursery, Inc.",62
1874,Lowell School Inc,75
2366,Lubertha Wilson Payne,6
1725,Lynn Carol's Academy Of Early Learning,60
2009,Mana Bilingual Child Development Center,20
2194,Mana Bilingual Child Development Center 2,50
2069,Manley Science and Technology Center,30
2356,Maria Alfaro,6
2635,Maria Antonia Romano,9
2558,Maria Dolores Naranjo,12
2577,Maria G. Morales /Little Praude II  ,9
2608,Marian Dunmore,9
2334,Marjorie McCollough-Jackson,6
2289,Marlene A Hudson,6
2671,Martha's Table Hillsdale Early Learning  Center,179
2698,Martha's Table Maycroft Early Learning Center ,40
2451,Mary Ann Ross,5
1745,Matthews Memorial Baptist CDC,100
2638,Mayra Lorena Barrientos Pineda/Pasitos 123 CDH,9
2223,"Meriam  Academy, LLC",28
2771,Mesac Child Development Center,36
2876,MESAC Child Development Center II,16
2820,Mestawet Dejene/Playsafe Playhouse CDH,7
1749,Metropolitan Methodist Church Nursery School ,108
2096,Mi Palacio Child Development Center LLC/ Marisol Espinosa,25
1940,"Milestones Enrichment Center, Inc.",46
2193,Mindbloom Preschool,28
2578,Miriam A. Powell-Bowie,9
1858,Montessori School Of Chevy Chase,58
2594,Muluwork Kenea/Amen Family Child Care ,9
2572,"Nana's Place, LLC",19
2742,Narbear Child Development Home Daycare,5
2652,Nassia M. Seid,6
1976,National Child Research Center,170
1815,National Children's Center,300
1951,National Presbyterian Child Care Center,15
2282,Nellie Sydnor,6
1816,New Creation Child Development Center ,54
2541,Newlen Early Childhood School Readiness Center ,51
2810,Newlen Early Childhood School Readiness Center II,50
2699,Nicole J. Jasper ,9
2664,Nido Nurturing Center ,16
1929,Northeast Stars Montessori Learning ,29
2504,Octavia Riddick,6
2500,Odily De Leon,6
2696,Palisades Montessori Infant and Toddler Center ,32
2169,Palisades Montessori LLC,24
1713,Paramount Child Development Center,100
2359,Paulette A. Sansbury,6
2808,Peaceful Play Center,31
2109,Petit Scholars,33
2620,Petit Scholars @  RIA,39
2867,Petit Scholars Bloomingdale,32
2533,Petit Scholars North Campus,19
2811,Petit Scholars North Campus II,56
2827,"Phase Family Center DC, LLC",92
1835,Pilgrim Baptist Church CDC,72
2676,"POC Learning Academy, LLC",9
2706,Prep Enrichment Center ,34
2887,Prep Enrichment Center 2,8
1780,Preparatory School For Early Learning,28
2837,Primrose School At The Parks DC,68
2536,Promoting Love and Wisdom Childcare Home,12
1917,Quickie Becky Child Care Dev,176
1945,"Rainbow Child Learning Center, Inc.",40
2872,Redhead Laugh Learn and Play   Childcare,8
1728,Rehoboth Baptist Church Child Development Center ,180
2486,Reina  Calderon,6
2414,Rhonda Ayers,6
2766,Rising Stars Early Learning  Center,28
1909,River Park Nursery School,15
2723,Rocketship  Legacy Prep,150
2803,Rocketship Infinity Community Prep,50
2717,Rocketship Rise Academy,136
1714,Roots Activity Learning Center,100
2576,Rosa Pelaez,5
1925,Rosemount Center,163
2624,RUNN AND SHOOT WITH ME LLC,5
1740,Saint Patrick's Episcopal Day School,110
1746,School For Friends,74
2815,Sebastian Molina Vail,9
2116,Semillitas Child Development Center,25
2826,Sequoia School Child Care and Early Learning  Center,48
2392,Sheila J. Harley,6
1809,Shiloh Child Development Center,68
2651,Shining Star 2 Early Learning Center,32
2231,Shining Star Early Learning Center,24
2507,Shirley Washington ,6
2542,Silvia  Mego Jara ,9
2721,Skadkids By Bright Horizons,16
2108,Smithsonian Early Enrichment Center II-NHM,55
2140,Smithsonian Early Enrichment Center II-NHN,87
2566,Soles Montessori Child Development,12
2830,Soles Montessori Child Development  LLC ,37
2110,Southeast Children's Fund CDC I,53
1982,Spanish Education Development Center,184
1797,"Springfield Baptist Church ""Kingdom Kids"" CDC",59
2864,Sprouts Town Child Care Development 2,13
2548,Sprouts Town Child Care Development Center,25
2544,St. Albans Early Childhood  Center ,225
1755,St. Columba's Nursery School,100
1833,St. John's Episcopal Preschool,45
1937,St. Philip's Child Development Center,95
1723,St. Timothy's Episcopal CDC,88
2673,"STEM Preschool, LLC",47
2437,Stephanie Dobson,6
2849,STORY TIME KIDS LLC,26
2760,Sukarno Glory Childcare Development Center,109
1762,Sunshine Early Learning Center,200
2831,Sweet Home Daycare,9
2582,Sylvia Crews/ LTH Infants and Toddlers,9
1878,Takoma Children's Center Inc,42
2618,Talentos Bilingual Child Development Center LLC,28
